product_name,slug,product_family,grade,short_description,physical_form,applications,industries,manufacturer_supplier,country_of_origin,cas_number,hs_gtip_code,un_number,dangerous_goods_class,minimum_order_quantity,quantity_unit,packaging_options,supported_incoterms,dispatch_location,availability_status,availability_checked_date,tds_url,tds_revision_date,sds_url,sds_revision_date,coa_available,certificate_of_origin_available,source_url,source_image_url,image_rights_status,technical_properties_json,last_reviewed_date,verification_status,rfq_enabled,intermediary_disclosure
A107250,a107250,HDPE,A107250,"A107250 is a HDPE grade intended for applications including Household articles; Closures/seals. Review the listed technical properties and confirm current specifications, regulatory suitability and availability with the relevant supplier before purchase.",,Household articles | Closures/seals | Packaging,,,,,,,,,,,,,Confirm by RFQ,,,,,,Confirm by RFQ,Confirm by RFQ,https://chemportal.com.tr/?product=a107250,https://chemportal.com.tr/wp-content/uploads/2024/10/HDPE.webp,Authorized for SmartKey publication — owner confirmed 2026-07-21,"[{""No."": ""1"", ""Property"": ""MFI (190°C/2.16Kg)"", ""Units"": ""g/10min"", ""Test Method"": ""ISO 1133"", ""Value"": ""10 ± 1.4""}, {""No."": ""2"", ""Property"": ""MFI (190°C/5Kg)"", ""Units"": ""g/10min"", ""Test Method"": ""ISO 1133"", ""Value"": ""28 ± 4""}, {""No."": ""3"", ""Property"": ""FRR5/2.16"", ""Units"": ""—–"", ""Test Method"": ""—–"", ""Value"": ""2.8 ± 0.7""}, {""No."": ""4"", ""Property"": ""Density"", ""Units"": ""g/cm³"", ""Test Method"": ""ISO 1183"", ""Value"": ""0.950 ± 0.002""}, {""No."": ""5"", ""Property"": ""Notched Impact Strength"", ""Units"": ""mJ/mm²"", ""Test Method"": ""ISO 179/1eA"", ""Value"": ""3""}]",2026-07-21,Source captured; technical review pending,Yes,"SmartKey Turkey acts as an authorized sales representative and sourcing coordinator; it is not the manufacturer. Current specifications, availability, pricing and final commercial terms are confirmed for each inquiry."
A107255,a107255,HDPE,A107255,"A107255 is a HDPE grade intended for applications including For large containers above 5 liters capacity.; For the manufacture of semi-finished products.. Review the listed technical properties and confirm current specifications, regulatory suitability and availability with the relevant supplier before purchase.",,For large containers above 5 liters capacity. | For the manufacture of semi-finished products.,,,,,,,,,,,,,Confirm by RFQ,,,,,,Confirm by RFQ,Confirm by RFQ,https://chemportal.com.tr/?product=a107255,https://chemportal.com.tr/wp-content/uploads/2024/10/HDPE.webp,Authorized for SmartKey publication — owner confirmed 2026-07-21,"[{""No."": ""1"", ""Property"": ""MFI (190°C/5Kg)"", ""Units"": ""g/10min"", ""Test Method"": ""ISO 1133"", ""Value"": ""0.12 ± 0.02""}, {""No."": ""2"", ""Property"": ""MFI (190°C/21.6Kg)"", ""Units"": ""g/10min"", ""Test Method"": ""ISO 1133"", ""Value"": ""2.7 ± 0.4""}, {""No."": ""3"", ""Property"": ""FRR21.6/5"", ""Units"": ""—–"", ""Test Method"": ""—–"", ""Value"": ""23""}, {""No."": ""4"", ""Property"": ""Density"", ""Units"": ""g/cm³"", ""Test Method"": ""ISO 1183"", ""Value"": ""0.952 ± 0.002""}, {""No."": ""5"", ""Property"": ""Notched Impact Strength"", ""Units"": ""mJ/mm²"", ""Test Method"": ""ISO 179/1eA"", ""Value"": ""42""}, {""No."": ""6"", ""Property"": ""Swell Ratio"", ""Units"": ""%"", ""Test Method"": ""Internal Method"", ""Value"": ""145 ± 20""}]",2026-07-21,Source captured; technical review pending,Yes,"SmartKey Turkey acts as an authorized sales representative and sourcing coordinator; it is not the manufacturer. Current specifications, availability, pricing and final commercial terms are confirmed for each inquiry."
A107260,a107260,HDPE,A107260,"A107260 is a HDPE grade intended for applications including Lightweight household items.; Disposable articles.. Review the listed technical properties and confirm current specifications, regulatory suitability and availability with the relevant supplier before purchase.",,Lightweight household items. | Disposable articles. | Large molding and complicated parts where high impact strength and stress cracking resistance (ESCR) are not demanded.,,,,,,,,,,,,,Confirm by RFQ,,,,,,Confirm by RFQ,Confirm by RFQ,https://chemportal.com.tr/?product=a107260,https://chemportal.com.tr/wp-content/uploads/2024/10/HDPE.webp,Authorized for SmartKey publication — owner confirmed 2026-07-21,"[{""No."": ""1"", ""Property"": ""MFI (190°C/2.16Kg)"", ""Units"": ""g/10min"", ""Test Method"": ""ISO 1133"", ""Value"": ""17 ± 3""}, {""No."": ""2"", ""Property"": ""MFI (190°C/5Kg)"", ""Units"": ""g/10min"", ""Test Method"": ""ISO 1133"", ""Value"": ""52 ± 8""}, {""No."": ""3"", ""Property"": ""FRR5/2.16"", ""Units"": ""—–"", ""Test Method"": ""—–"", ""Value"": ""3 ± 0.8""}, {""No."": ""4"", ""Property"": ""Density"", ""Units"": ""g/cm³"", ""Test Method"": ""ISO 1183"", ""Value"": ""0.957 ± 0.002""}, {""No."": ""5"", ""Property"": ""Notched Impact Strength"", ""Units"": ""mJ/mm²"", ""Test Method"": ""ISO 179/1eA"", ""Value"": ""2""}]",2026-07-21,Source captured; technical review pending,Yes,"SmartKey Turkey acts as an authorized sales representative and sourcing coordinator; it is not the manufacturer. Current specifications, availability, pricing and final commercial terms are confirmed for each inquiry."
A107740F2,a-7740f2,HDPE,A107740F2,"A107740F2 is a HDPE grade intended for applications including Stretched film tape used in the manufacture of knitted and woven fabrics (Agricultural Packaging and Protective cover).. Review the listed technical properties and confirm current specifications, regulatory suitability and availability with the relevant supplier before purchase.",,Stretched film tape used in the manufacture of knitted and woven fabrics (Agricultural Packaging and Protective cover).,,,,,,,,,,,,,Confirm by RFQ,,,,,,Confirm by RFQ,Confirm by RFQ,https://chemportal.com.tr/?product=a-7740f2,https://chemportal.com.tr/wp-content/uploads/2024/10/HDPE.webp,Authorized for SmartKey publication — owner confirmed 2026-07-21,"[{""No."": ""1"", ""Property"": ""MFI (190°C/5Kg)"", ""Units"": ""g/10min"", ""Test Method"": ""ISO 1133"", ""Value"": ""1.6 ± 0.4""}, {""No."": ""2"", ""Property"": ""MFI (190°C/21.6Kg)"", ""Units"": ""g/10min"", ""Test Method"": ""ISO 1133"", ""Value"": ""22 ± 4""}, {""No."": ""3"", ""Property"": ""FRR21.6/5"", ""Units"": ""—–"", ""Test Method"": ""—–"", ""Value"": ""14 ± 2""}, {""No."": ""4"", ""Property"": ""Density"", ""Units"": ""g/cm³"", ""Test Method"": ""ISO 1183"", ""Value"": ""0.944 ± 0.002""}, {""No."": ""5"", ""Property"": ""Gel Number"", ""Units"": ""—–"", ""Test Method"": ""Internal Method"", ""Value"": ""≤ 4""}, {""No."": ""6"", ""Property"": ""Gel Size"", ""Units"": ""µm"", ""Test Method"": ""Internal Method"", ""Value"": ""≤ 150""}]",2026-07-21,Source captured; technical review pending,Yes,"SmartKey Turkey acts as an authorized sales representative and sourcing coordinator; it is not the manufacturer. Current specifications, availability, pricing and final commercial terms are confirmed for each inquiry."
A107745,a107745,HDPE,A107745,"A107745 is a HDPE grade intended for applications including For heating oil storage tanks.; Large containers for various chemicals.. Review the listed technical properties and confirm current specifications, regulatory suitability and availability with the relevant supplier before purchase.",,For heating oil storage tanks. | Large containers for various chemicals.,,,,,,,,,,,,,Confirm by RFQ,,,,,,Confirm by RFQ,Confirm by RFQ,https://chemportal.com.tr/?product=a107745,https://chemportal.com.tr/wp-content/uploads/2024/10/HDPE.webp,Authorized for SmartKey publication — owner confirmed 2026-07-21,"[{""No."": ""1"", ""Property"": ""MFI (190°C/5Kg)"", ""Units"": ""g/10min"", ""Test Method"": ""ISO 1133"", ""Value"": ""0.31 ± 0.04""}, {""No."": ""2"", ""Property"": ""MFI (190°C/21.6Kg)"", ""Units"": ""g/10min"", ""Test Method"": ""ISO 1133"", ""Value"": ""7.5 ± 1.5""}, {""No."": ""3"", ""Property"": ""FRR21.6/5"", ""Units"": ""—–"", ""Test Method"": ""—–"", ""Value"": ""24""}, {""No."": ""4"", ""Property"": ""Density"", ""Units"": ""g/cm³"", ""Test Method"": ""ISO 1183"", ""Value"": ""0.944 ± 0.002""}, {""No."": ""5"", ""Property"": ""Notched Impact Strength"", ""Units"": ""mJ/mm²"", ""Test Method"": ""ISO 179/1eA"", ""Value"": ""19""}, {""No."": ""6"", ""Property"": ""Swell Ratio"", ""Units"": ""%"", ""Test Method"": ""Internal Method"", ""Value"": ""135 ± 20""}]",2026-07-21,Source captured; technical review pending,Yes,"SmartKey Turkey acts as an authorized sales representative and sourcing coordinator; it is not the manufacturer. Current specifications, availability, pricing and final commercial terms are confirmed for each inquiry."
A107746,a107746,HDPE,A107746,"A107746 is a HDPE grade intended for applications including Large containers above 5 liters capacity, e.g., petrol tanks.; For the manufacture of semi-finished products.. Review the listed technical properties and confirm current specifications, regulatory suitability and availability with the relevant supplier before purchase.",,"Large containers above 5 liters capacity, e.g., petrol tanks. | For the manufacture of semi-finished products.",,,,,,,,,,,,,Confirm by RFQ,,,,,,Confirm by RFQ,Confirm by RFQ,https://chemportal.com.tr/?product=a107746,https://chemportal.com.tr/wp-content/uploads/2024/10/HDPE.webp,Authorized for SmartKey publication — owner confirmed 2026-07-21,"[{""No."": ""1"", ""Property"": ""MFI (190°C/5Kg)"", ""Units"": ""g/10min"", ""Test Method"": ""ISO 1133"", ""Value"": ""0.2 ± 0.04""}, {""No."": ""2"", ""Property"": ""MFI (190°C/21.6Kg)"", ""Units"": ""g/10min"", ""Test Method"": ""ISO 1133"", ""Value"": ""4.0 ± 0.4""}, {""No."": ""3"", ""Property"": ""FRR21.6/5"", ""Units"": ""—–"", ""Test Method"": ""—–"", ""Value"": ""20""}, {""No."": ""4"", ""Property"": ""Density"", ""Units"": ""g/cm³"", ""Test Method"": ""ISO 1183"", ""Value"": ""0.943 ± 0.002""}, {""No."": ""5"", ""Property"": ""Notched Impact Strength"", ""Units"": ""mJ/mm²"", ""Test Method"": ""ISO 179/1eA"", ""Value"": ""25""}, {""No."": ""6"", ""Property"": ""Swell Ratio"", ""Units"": ""%"", ""Test Method"": ""Internal Method"", ""Value"": ""150 ± 20""}]",2026-07-21,Source captured; technical review pending,Yes,"SmartKey Turkey acts as an authorized sales representative and sourcing coordinator; it is not the manufacturer. Current specifications, availability, pricing and final commercial terms are confirmed for each inquiry."
A108255,a108255,HDPE,A108255,"A108255 is a HDPE grade intended for applications including General-purpose grade for containers from 1 liter to about 500 liters capacity.. Review the listed technical properties and confirm current specifications, regulatory suitability and availability with the relevant supplier before purchase.",,General-purpose grade for containers from 1 liter to about 500 liters capacity.,,,,,,,,,,,,,Confirm by RFQ,,,,,,Confirm by RFQ,Confirm by RFQ,https://chemportal.com.tr/?product=a108255,https://chemportal.com.tr/wp-content/uploads/2024/10/HDPE.webp,Authorized for SmartKey publication — owner confirmed 2026-07-21,"[{""No."": ""1"", ""Property"": ""MFI (190°C/5Kg)"", ""Units"": ""g/10min"", ""Test Method"": ""ISO 1133"", ""Value"": ""0.35 ± 0.06""}, {""No."": ""2"", ""Property"": ""MFI (190°C/21.6Kg)"", ""Units"": ""g/10min"", ""Test Method"": ""ISO 1133"", ""Value"": ""8.5 ± 2.0""}, {""No."": ""3"", ""Property"": ""FRR21.6/5"", ""Units"": ""—–"", ""Test Method"": ""—–"", ""Value"": ""24""}, {""No."": ""4"", ""Property"": ""Density"", ""Units"": ""g/cm³"", ""Test Method"": ""ISO 1183"", ""Value"": ""0.952 ± 0.002""}, {""No."": ""5"", ""Property"": ""Notched Impact Strength"", ""Units"": ""mJ/mm²"", ""Test Method"": ""ISO 179/1eA"", ""Value"": ""25""}, {""No."": ""6"", ""Property"": ""Swell Ratio"", ""Units"": ""%"", ""Test Method"": ""Internal Method"", ""Value"": ""140 ± 20""}]",2026-07-21,Source captured; technical review pending,Yes,"SmartKey Turkey acts as an authorized sales representative and sourcing coordinator; it is not the manufacturer. Current specifications, availability, pricing and final commercial terms are confirmed for each inquiry."
A109450F,a9450f,HDPE,A109450F,"A109450F is a HDPE grade intended for applications including Food Grade; Blown films with paper-like quality. Review the listed technical properties and confirm current specifications, regulatory suitability and availability with the relevant supplier before purchase.",,Food Grade | Blown films with paper-like quality | Suitable for counter bags | Carrier bags | Wrapping films and sheets | Blending partner,,,,,,,,,,,,,Confirm by RFQ,,,,,,Confirm by RFQ,Confirm by RFQ,https://chemportal.com.tr/?product=a9450f,https://chemportal.com.tr/wp-content/uploads/2024/10/HDPE.webp,Authorized for SmartKey publication — owner confirmed 2026-07-21,"[{""No."": ""1"", ""Property"": ""MFR (190°C/5Kg)"", ""Units"": ""g/10min"", ""Test Method"": ""ISO 1133"", ""Value"": ""0.28 ± 0.07""}, {""No."": ""2"", ""Property"": ""MFR (190°C/21.6Kg)"", ""Units"": ""g/10min"", ""Test Method"": ""ISO 1133"", ""Value"": ""8.0 ± 2.0""}, {""No."": ""3"", ""Property"": ""FRR21.6/5"", ""Units"": ""—–"", ""Test Method"": ""—–"", ""Value"": ""30 ± 4""}, {""No."": ""4"", ""Property"": ""Density"", ""Units"": ""g/cm³"", ""Test Method"": ""ISO 1183"", ""Value"": ""0.949 ± 0.002""}]",2026-07-21,Source captured; technical review pending,Yes,"SmartKey Turkey acts as an authorized sales representative and sourcing coordinator; it is not the manufacturer. Current specifications, availability, pricing and final commercial terms are confirmed for each inquiry."
A109455F,a9455f,HDPE,A109455F,"A109455F is a HDPE grade intended for applications including Paper-like film suitable for wrapping.; Counter bags and carrier bags.. Review the listed technical properties and confirm current specifications, regulatory suitability and availability with the relevant supplier before purchase.",,Paper-like film suitable for wrapping. | Counter bags and carrier bags.,,,,,,,,,,,,,Confirm by RFQ,,,,,,Confirm by RFQ,Confirm by RFQ,https://chemportal.com.tr/?product=a9455f,https://chemportal.com.tr/wp-content/uploads/2024/10/HDPE.webp,Authorized for SmartKey publication — owner confirmed 2026-07-21,"[{""No."": ""1"", ""Property"": ""MFI (190°C/5Kg)"", ""Units"": ""g/10min"", ""Test Method"": ""ISO 1133"", ""Value"": ""0.28 ± 0.07""}, {""No."": ""2"", ""Property"": ""MFI (190°C/21.6Kg)"", ""Units"": ""g/10min"", ""Test Method"": ""ISO 1133"", ""Value"": ""8 ± 2""}, {""No."": ""3"", ""Property"": ""FRR21.6/5"", ""Units"": ""—–"", ""Test Method"": ""—–"", ""Value"": ""29""}, {""No."": ""4"", ""Property"": ""Density"", ""Units"": ""g/cm³"", ""Test Method"": ""ISO 1183"", ""Value"": ""0.956 ± 0.002""}, {""No."": ""5"", ""Property"": ""Gel Number"", ""Units"": ""—–"", ""Test Method"": ""Internal Method"", ""Value"": ""3""}, {""No."": ""6"", ""Property"": ""Gel Size"", ""Units"": ""%"", ""Test Method"": ""Internal Method"", ""Value"": ""≤ 120""}]",2026-07-21,Source captured; technical review pending,Yes,"SmartKey Turkey acts as an authorized sales representative and sourcing coordinator; it is not the manufacturer. Current specifications, availability, pricing and final commercial terms are confirmed for each inquiry."
AGC107260,agc107260,HDPE,AGC107260,"AGC107260 is a HDPE grade intended for applications including Transport and stacking crates; Particularly bottle crates. Review the listed technical properties and confirm current specifications, regulatory suitability and availability with the relevant supplier before purchase.",,Transport and stacking crates | Particularly bottle crates | Engineering parts | Closures,,,,,,,,,,,,,Confirm by RFQ,,,,,,Confirm by RFQ,Confirm by RFQ,https://chemportal.com.tr/?product=agc107260,https://chemportal.com.tr/wp-content/uploads/2024/10/HDPE.webp,Authorized for SmartKey publication — owner confirmed 2026-07-21,"[{""No."": ""1"", ""Property"": ""MFR (190°C/2.16Kg)"", ""Units"": ""g/10min"", ""Test Method"": ""ISO 1133"", ""Value"": ""8.0 ± 1.0""}, {""No."": ""2"", ""Property"": ""MFR (190°C/5Kg)"", ""Units"": ""g/10min"", ""Test Method"": ""ISO 1133"", ""Value"": ""23 ± 3""}, {""No."": ""3"", ""Property"": ""FRR5/2.16"", ""Units"": ""—–"", ""Test Method"": ""—–"", ""Value"": ""2.8 ± 0.6""}, {""No."": ""4"", ""Property"": ""Density"", ""Units"": ""g/cm³"", ""Test Method"": ""ISO 1183"", ""Value"": ""0.957 ± 0.002""}, {""No."": ""5"", ""Property"": ""Notched Impact Strength"", ""Units"": ""mJ/mm²"", ""Test Method"": ""ISO 179/1eA"", ""Value"": ""3.0""}]",2026-07-21,Source captured; technical review pending,Yes,"SmartKey Turkey acts as an authorized sales representative and sourcing coordinator; it is not the manufacturer. Current specifications, availability, pricing and final commercial terms are confirmed for each inquiry."
HDPE 1080,hdpe-1080,HDPE,HDPE 1080,"HDPE 1080 is a HDPE grade intended for applications including Drinking Water Pipe; Drainage Pipe. Review the listed technical properties and confirm current specifications, regulatory suitability and availability with the relevant supplier before purchase.",,Drinking Water Pipe | Drainage Pipe | Plumbing,,,,,,,,,,,,,Confirm by RFQ,,,,,,Confirm by RFQ,Confirm by RFQ,https://chemportal.com.tr/?product=hdpe-1080,https://chemportal.com.tr/wp-content/uploads/2024/10/HDPE1080.webp,Authorized for SmartKey publication — owner confirmed 2026-07-21,"[{""No."": ""1"", ""Property"": ""High Load MFI (190°C/21.6 kg)"", ""Value"": ""6"", ""Units"": ""g/10 min"", ""Test Method"": ""ISO 1133""}, {""No."": ""2"", ""Property"": ""Melt Flow Index (190°C/5.0 kg)"", ""Value"": ""0.33"", ""Units"": ""g/10 min"", ""Test Method"": ""ISO 1133""}, {""No."": ""3"", ""Property"": ""Density"", ""Value"": ""0.944"", ""Units"": ""g/cm³"", ""Test Method"": ""ISO 1133""}, {""No."": ""4"", ""Property"": ""Tensile Strength at Yield"", ""Value"": ""25"", ""Units"": ""MPa"", ""Test Method"": ""ISO 527-1, -2""}, {""No."": ""5"", ""Property"": ""Elongation at Yield"", ""Value"": ""11"", ""Units"": ""%"", ""Test Method"": ""ISO 527-1, -2""}, {""No."": ""6"", ""Property"": ""Elongation at Break"", ""Value"": "">1000"", ""Units"": ""%"", ""Test Method"": ""ISO 527-1, -2""}, {""No."": ""7"", ""Property"": ""Tensile Strength at Break"", ""Value"": ""40"", ""Units"": ""MPa"", ""Test Method"": ""ISO 527-1, -2""}, {""No."": ""8"", ""Property"": ""Tensile Modulus of Elasticity"", ""Value"": ""700"", ""Units"": ""MPa"", ""Test Method"": ""ISO 527-1, -2""}, {""No."": ""9"", ""Property"": ""ESCR F10 (10% Igepal, Method B)"", ""Value"": "">1000"", ""Units"": ""hrs"", ""Test Method"": ""ASTM D1693""}, {""No."": ""10"", ""Property"": ""Melting Temperature"", ""Value"": ""129"", ""Units"": ""°C"", ""Test Method"": ""ISO 3146""}]",2026-07-21,Source captured; technical review pending,Yes,"SmartKey Turkey acts as an authorized sales representative and sourcing coordinator; it is not the manufacturer. Current specifications, availability, pricing and final commercial terms are confirmed for each inquiry."
HDPE S104261A,hdpe-s104261a,HDPE,HDPE S104261A,"HDPE S104261A is a HDPE grade intended for applications including Status: Commercial: Active; Application: Automotive fuel tanks, Non-fuel reservoirs. Review the listed technical properties and confirm current specifications, regulatory suitability and availability with the relevant supplier before purchase.",,"Status: Commercial: Active | Application: Automotive fuel tanks, Non-fuel reservoirs | Form(s): Pellet | Outstanding ESCR | Very Good Creep Strength | Good Chemical Resistance | High Impact Resistance | Excellent Processability | Excellent Low Temp. Impact Resistance | Antioxidant: Yes | Processing Aid: No | Antiblock: No | Slip Agent: No | Processing Method: Extrusion Blow Molding; Thermoforming | Extruder Barrel Temperature: 200-230 °C | Melt Temperature: 205-240 °C",,,,,,,,,,,,,Confirm by RFQ,,,,,,Confirm by RFQ,Confirm by RFQ,https://chemportal.com.tr/?product=hdpe-s104261a,https://chemportal.com.tr/wp-content/uploads/2024/10/HDPE-S104261A-1.webp,Authorized for SmartKey publication — owner confirmed 2026-07-21,"[{""Property"": ""Physical"", ""Typical Value"": """", ""Unit"": """", ""Test Method"": """"}, {""Property"": ""High Load Melt Flow Index (190°C/21.6 kg)"", ""Typical Value"": ""5.6"", ""Unit"": ""g/10 min"", ""Test Method"": ""ISO 1133""}, {""Property"": ""Density"", ""Typical Value"": ""0.947"", ""Unit"": ""g/cm³"", ""Test Method"": ""ISO 1183""}, {""Property"": ""Bulk Density"", ""Typical Value"": ""> 0.50"", ""Unit"": ""g/cm³"", ""Test Method"": ""ISO 60""}, {""Property"": ""Mechanical"", ""Typical Value"": """", ""Unit"": """", ""Test Method"": """"}, {""Property"": ""Tensile Strength at Yield"", ""Typical Value"": ""25"", ""Unit"": ""MPa"", ""Test Method"": ""ISO 527-1, -2""}, {""Property"": ""Tensile Strength at Break"", ""Typical Value"": ""45"", ""Unit"": ""MPa"", ""Test Method"": ""ISO 527-1, -2""}, {""Property"": ""Elongation at Yield"", ""Typical Value"": ""10"", ""Unit"": ""%"", ""Test Method"": ""ISO 527-1, -2""}, {""Property"": ""Elongation at Break"", ""Typical Value"": ""> 1200"", ""Unit"": ""%"", ""Test Method"": ""ISO 527-1, -2""}, {""Property"": ""Tensile Modulus of Elasticity"", ""Typical Value"": ""800"", ""Unit"": ""MPa"", ""Test Method"": ""ISO 527-1, -2""}, {""Property"": ""Flexural Modulus – 1% Secant"", ""Typical Value"": ""> 800"", ""Unit"": ""MPa"", ""Test Method"": ""ASTM D790""}, {""Property"": ""ESCR F10 (10% Igepal, Method B)"", ""Typical Value"": ""> 2000"", ""Unit"": ""hr"", ""Test Method"": ""ASTM D1693""}, {""Property"": ""FNCT (3.5 MPa, 2% Arkopal N100, 80°C)"", ""Typical Value"": ""> 80"", ""Unit"": ""hr"", ""Test Method"": ""ISO 16770""}, {""Property"": ""Impact"", ""Typical Value"": """", ""Unit"": """", ""Test Method"": """"}, {""Property"": ""Tensile Impact Strength (Notched, -30°C)"", ""Typical Value"": ""167"", ""Unit"": ""kJ/m²"", ""Test Method"": ""ISO 8256""}, {""Property"": ""Izod Impact Strength (Notched, 23°C)"", ""Typical Value"": ""26"", ""Unit"": ""kJ/m²"", ""Test Method"": ""ISO 180""}, {""Property"": ""Thermal"", ""Typical Value"": """", ""Unit"": """", ""Test Method"": """"}, {""Property"": ""Melting Temperature"", ""Typical Value"": ""130"", ""Unit"": ""°C"", ""Test Method"": ""ISO 3146""}, {""Property"": ""Oxidation Induction Time (200°C)"", ""Typical Value"": ""> 50"", ""Unit"": ""min"", ""Test Method"": ""ISO 11357""}, {""Property"": ""Vicat Softening Temperature (10N)"", ""Typical Value"": ""126"", ""Unit"": ""°C"", ""Test Method"": ""ISO 306""}, {""Property"": ""Deflection Temperature Under Load (0.45 MPa)"", ""Typical Value"": ""68"", ""Unit"": ""°C"", ""Test Method"": ""ISO 75""}, {""Property"": ""Deflection Temperature Under Load (1.8 MPa)"", ""Typical Value"": ""50"", ""Unit"": ""°C"", ""Test Method"": ""ISO 75""}]",2026-07-21,Source captured; technical review pending,Yes,"SmartKey Turkey acts as an authorized sales representative and sourcing coordinator; it is not the manufacturer. Current specifications, availability, pricing and final commercial terms are confirmed for each inquiry."
HDPE S4265,hbm-4265,HDPE,HDPE S4265,"HDPE S4265 is a HDPE grade intended for applications including Status: Commercial: Active; Application: Intermediate Bulk Container (IBC), Large Agricultural Tank, Small to Large Jerry Cans. Review the listed technical properties and confirm current specifications, regulatory suitability and availability with the relevant supplier before purchase.",,"Status: Commercial: Active | Application: Intermediate Bulk Container (IBC), Large Agricultural Tank, Small to Large Jerry Cans | Form(s): Pellet | Very Good ESCR | High Impact Resistance | Very Good Creep Strength | Easy Processability | Good Chemical Resistance | Antioxidant: Yes | Processing Aid: No | Antiblock: No | Slip Agent: No | Extruder Barrel Temperature: 200-230 °C | Melt Temperature: 205-235 °C",,,,,,,,,,,,,Confirm by RFQ,,,,,,Confirm by RFQ,Confirm by RFQ,https://chemportal.com.tr/?product=hbm-4265,https://chemportal.com.tr/wp-content/uploads/2024/10/HDPE-S4265-1.webp,Authorized for SmartKey publication — owner confirmed 2026-07-21,"[{""Property"": ""Physical"", ""Typical Value"": """", ""Unit"": """", ""Test Method"": """"}, {""Property"": ""High Load Melt Flow Index (190°C/21.6 kg)"", ""Typical Value"": ""6.5"", ""Unit"": ""g/10 min"", ""Test Method"": ""ISO 1133""}, {""Property"": ""Density"", ""Typical Value"": ""0.942"", ""Unit"": ""g/cm³"", ""Test Method"": ""ISO 1183""}, {""Property"": ""Bulk Density"", ""Typical Value"": ""> 0.50"", ""Unit"": ""g/cm³"", ""Test Method"": ""ISO 60""}, {""Property"": ""Mechanical"", ""Typical Value"": """", ""Unit"": """", ""Test Method"": """"}, {""Property"": ""Tensile Strength at Yield"", ""Typical Value"": ""24"", ""Unit"": ""MPa"", ""Test Method"": ""ISO 527-1, -2""}, {""Property"": ""Elongation at Yield"", ""Typical Value"": ""10"", ""Unit"": ""%"", ""Test Method"": ""ISO 527-1, -2""}, {""Property"": ""Tensile Modulus of Elasticity"", ""Typical Value"": ""800"", ""Unit"": ""MPa"", ""Test Method"": ""ISO 527-1, -2""}, {""Property"": ""FNCT (3.5 MPa, 2% Arkopal N100, 80°C)"", ""Typical Value"": ""60"", ""Unit"": ""hr"", ""Test Method"": ""ISO 16770""}, {""Property"": ""Impact"", ""Typical Value"": """", ""Unit"": """", ""Test Method"": """"}, {""Property"": ""Tensile Impact Strength (Notched, -30°C)"", ""Typical Value"": ""160"", ""Unit"": ""kJ/m²"", ""Test Method"": ""ISO 8256""}, {""Property"": ""Thermal"", ""Typical Value"": """", ""Unit"": """", ""Test Method"": """"}, {""Property"": ""Melting Temperature"", ""Typical Value"": ""130"", ""Unit"": ""°C"", ""Test Method"": ""ISO 3146""}, {""Property"": ""Vicat Softening Temperature (10N)"", ""Typical Value"": ""128"", ""Unit"": ""°C"", ""Test Method"": ""ISO 306""}, {""Property"": ""Deflection Temperature Under Load (0.45 MPa)"", ""Typical Value"": ""70"", ""Unit"": ""°C"", ""Test Method"": ""ISO 75""}, {""Property"": ""Deflection Temperature Under Load (1.8 MPa)"", ""Typical Value"": ""52"", ""Unit"": ""°C"", ""Test Method"": ""ISO 75""}]",2026-07-21,Source captured; technical review pending,Yes,"SmartKey Turkey acts as an authorized sales representative and sourcing coordinator; it is not the manufacturer. Current specifications, availability, pricing and final commercial terms are confirmed for each inquiry."
